Count_of_sizes,Name_ of_colors,Product_code
1.0,PUMA Black-PUMA Silver,377151_06
6.0,Alpine Snow-Rose Gold-Future Pink-PUMA White,376809_10
5.0,Puma Black-Puma White,376809_01
3.0,Rose Dust-PUMA White,376809_07
6.0,Spring Lavender-PUMA Black,376855_11
4.0,Platinum Gray-Copper Rose,378548_02
5.0,PUMA White,377945_02
5.0,Spring Lavender-PUMA Black-Fizzy Lime,378527_01
3.0,PUMA Black-Hibiscus Flower,378548_01
3.0,PUMA Black-Ravish-PUMA Silver,378527_03
2.0,Wood Violet-PUMA Black-Ravish,376211_09
2.0,Pearl Pink-PUMA Black-PUMA White,377172_18
2.0,Platinum Gray-Puma White-Carnation Pink,377151_02
3.0,Elektro Purple-PUMA Black-Fizzy Lime,376592_03
1.0,PUMA Black-Vivid Violet-PUMA White,377172_21
1.0,Puma White-Puma Black-Puma Team Gold,376969_04
1.0,PUMA Black-PUMA White-Glowing Pink,377874_04
5.0,Dusty Orchid-PUMA White,387392_03
,"Puma Black-Puma Team Gold
: Sold Out",376980_01
2.0,Puma Black-BRIGHT ROSE,375500_05
5.0,Puma Black-Puma White,192268_02
5.0,Puma Black-Luminous Peach,193739_05
2.0,Eggshell Blue-Puma White-Silver,370791_12
4.0,Blue Wash-Evening Sky,194682_11
3.0,Puma Black-Metallic Silver,193756_01
4.0,Rose Dust-Warm White,194355_24
4.0,Puma Black-Rose Gold,194355_14
3.0,Puma White-Puma Black,190949_03
3.0,Lotus-Puma Black,193256_16
2.0,Puma Black-Puma White-Luminous Pink,193673_03
1.0,Puma Black-Lotus,370791_11
2.0,Puma Black-Fuchsia Purple,192268_04
2.0,Puma Black-Puma Team Gold,194682_06
2.0,Rose Quartz-Puma White,194355_21
2.0,Puma Black-Ignite Pink-Puma White,194355_01
1.0,Puma Black-Puma White,193256_01
1.0,Puma Black-Puma White,192237_01
1.0,Dusty Aqua-Puma White,194362_12
1.0,Puma Black-Puma Team Gold,195223_01
3.0,Rose Dust-Hibiscus Flower-Orange Peach,387980_04
3.0,Warm White-Team Aqua-PUMA White,394644_02
5.0,PUMA Black-Electric Blush-Alpine Snow,395842_03
6.0,PUMA Black-PUMA White-KNOCKOUT PINK,390963_03
3.0,PUMA Black-Peach Smoothie-Clyde Royal,394644_01
5.0,Pristine-Metallic Gold,389557_02
6.0,Peach Smoothie-Metallic Gold,389557_04
6.0,Vivid Violet-Puma Silver,390963_12
3.0,Minty Burst,395644_02
2.0,Vivid Violet,395644_01
6.0,PUMA Black-Metallic Gold,389557_01
3.0,Pale Grape-Purple Charcoal-PUMA White,388781_02
2.0,Puma White-Puma Aged Silver,386701_01
2.0,PUMA Silver-PUMA White-Matte Silver,390965_02
1.0,Platinum Gray-Blue Wash-Evening Sky,388781_01
1.0,Cloud Pink-Rose Gold,389108_05
3.0,Vivid Violet-PUMA White,389108_18
1.0,Pristine-Rose Gold,389108_19
4.0,Hero Blue-Marble-Light Mint,387980_05
6.0,PUMA Black-PUMA Black,390963_01
1.0,PUMA Black-Rose Gold,389108_02
5.0,Cloud Pink-Rose Gold,390963_02
3.0,PUMA Black-PUMA Silver-Pale Pink,390963_05
4.0,PUMA Black-PUMA Silver-Fair Aqua,390963_06
1.0,PUMA Black-Sunset Pink,391267_01
1.0,Almond Blossom-PUMA White,391267_02
6.0,Vivid Violet,395845_01
5.0,Inky Blue-Ash Gray-PUMA White,394633_02
6.0,Pearl Pink-Platinum Gray,396066_03
6.0,Vivid Violet-Warm White-Spring Lavender,394634_02
6.0,Blissful Blue-Future Pink-Galaxy Pink,394634_01
5.0,Puma Black-Puma White,385788_02
3.0,Peacoat-Ivory Glow,387542_01
4.0,High Risk Red-Puma White,385788_01
3.0,Platinum Gray-Sunset Pink,388731_03
3.0,Intense Red-QUIET SHADE,387542_03
2.0,Mist Green-Peacoat,387542_04
1.0,Yellow Pear-Quarry-Puma White,386940_04
2.0,PUMA Black-Festival Fuchsia,390943_03
1.0,Virtual Pink-Puma Black-Puma White,383802_01
4.0,Future Pink-Frosty Pink-PUMA White,394633_01
5.0,Pristine-Granola-Dusty Tan,388846_04
6.0,Glowing Pink,396203_01
5.0,Minty Burst-PUMA White,390943_06
5.0,Hibiscus Flower-Rose Dust-PUMA White,390943_05
2.0,Light Aqua-Dusty Aqua-PUMA White,391850_01
6.0,Parisian Night-Ultra Orange-Pearl Pink,388051_05
6.0,Nimbus Cloud-Light Aqua-Evening Sky,388789_02
6.0,Pistachio-Dusty Aqua-PUMA White,388789_03
5.0,Day Dream-Loveable-PUMA White,388815_04
5.0,Gray Tile-Pearl Pink-Pristine,388051_04
5.0,Wood Violet-Purple Charcoal-PUMA White,388815_05
5.0,Light Straw-Clementine-PUMA White,388815_06
4.0,Platinum Gray-Deep Dive-Filtered Ash,388846_05
4.0,Platinum Gray-Tangerine-Pale Lemon,388789_01
3.0,Heartfelt-Gray Tile-Purple Charcoal,388846_06
6.0,Parisian Night-Rose Dust-Green Lagoon,396065_02
5.0,Orange Peach-Hibiscus Flower,396066_01
5.0,Day Dream-Dusky Blue,396066_02
5.0,PUMA Black-Electric Peppermint-Orange Peach,396065_01
4.0,Spring Lavender-Purple Charcoal,396066_04
6.0,Pale Grape-Dusty Orchid-PUMA Silver,391269_03
6.0,Pebble Gray-Dark Chocolate-Fizzy Apple,383802_04
5.0,Island Pink-Sunset Pink-Spectra Green,388815_03
5.0,Platinum Gray-Pistachio-Sunset Pink-Spectra Green,388815_01
5.0,Parisian Night-Pale Grape-Sunset Pink,388815_02
5.0,Dusty Plum-Carnation Pink-PUMA White,388816_03
5.0,Evening Sky-Light Aqua,388816_01
4.0,Parisian Night-Sunset Pink,388816_02
2.0,Parisian Night-Lavender Fog-PUMA White,388053_02
2.0,Puma Black-Puma Team Gold,390008_01
5.0,Dusty Plum-Rose Quartz-PUMA Silver,391269_02
5.0,Evening Sky-Dusty Aqua-PUMA Silver,391269_01
2.0,Evening Sky-Pale Grape,388731_01
6.0,Harbor Mist-Festival Fuchsia-Peacoat,388051_01
3.0,Arctic Ice-Firelight-Peacoat,388052_02
2.0,Blue Coral-Lavender Fog-PUMA White,388052_03
1.0,Chalk Pink-Peacoat-Festival Fuchsia,388053_01
5.0,Parisian Night-Nitro Blue,387542_06
3.0,Lotus-PUMA Black,387542_05
3.0,Parisian Night-Fresh Yellow-Nitro Blue,388051_03
1.0,Porcelain-PUMA White-Arctic Ice-Firelight,388051_02
6.0,Cool Light Gray-Pinktastic-PUMA Black,310595_01
6.0,Strawberry Burst-PUMA White-Icy Blue,310595_02
6.0,Silver Sky-PUMA White,310421_04
6.0,PUMA Black-PUMA Silver-Sun Stream,309702_01
