Count_of_sizes,Name_ of_colors,Product_code
4.0,BLACK,FGC0CG032211A
,,FGC031042132A
6.0,KHAKI,FGC0BB027801A
5.0,NAVY,FGC0180U4402A
6.0,OLIVE GREEN,FGC0E7009261E
3.0,DNAVY 3,FGC0H9024651A
5.0,NAVY,FGC0L4010421D
3.0,OLIVE GREEN,FGC0M6032841A
3.0,PARIS HAT GREY,FGC0H9028111A
0.0,DBROWN,FGC0150R6901Z
6.0,BEIGE,FGC0510S0372A
6.0,DENIM BLUE,FGC031030701A
3.0,CAMEL,FGC0M1012542A
4.0,DUBAI KHAKI,FGC0GF0R7001Z
4.0,DNAVY,FGC0H9025771C
3.0,KHAKI,FGC0H9030201A
0.0,CASTOR GREY,FGC0AA032591A
5.0,BEIGE,FGC051024581A
1.0,DNAVY 4,FGC0AA027281A
3.0,CAMEL,FGC0V7042611A
1.0,OLIVE GREEN,FGC0N8024531A
1.0,OLIVE,FGC0L40R6641Z
6.0,KHAKI,FGC0L4004661F
0.0,DUBAI KHAKI,FGC0L4037341A
5.0,BLACK,FGC0150T7082A
6.0,BEIGE,FGC089028011B
4.0,NAVY,FGC0V2025101A
1.0,DUBAI KHAKI,FGC051040021A
1.0,KHAKI,FGC0CG032861A
4.0,CASTOR GREY,FGC0AA030341A
5.0,BROWN,FGC0M30R6681Z
5.0,TAN,FGC091012111B
2.0,GREY,FGC031042062A
3.0,BLUE,FGC0510S0352A
4.0,CAMEL,FGC0GF042551A
4.0,SNAYPE,FGC0H9020821B
2.0,RB BROWN,FGC0AN024231B
3.0,RBLUE,FGC0H9025111B
1.0,OLIVE GREEN,FGC0GF0R8121Z
1.0,KHAKI,FGC090027401A
0.0,RUSSIA DBROWN,FGC0AC0R7721Z
,,FGC0GF0R6861Z
2.0,BLUE,FGC031039072A
1.0,KHAKI,FGC037005801F
0.0,KHAKI,FGC015033061A
0.0,CAMEL,FGC0BB034651A
4.0,WHITE,FGC031042112A
4.0,CAMEL,FGC0L5012521C
4.0,TAN,FGC0X0044852A
5.0,BLUE,FGC0180V3502A
2.0,YELLOW,FGC051030321A
5.0,CAMEL,FGC0GF0R6881Z
2.0,KHAKI,FGC013005491E
2.0,KHAKI,FGC0H9027111A
3.0,SNAYPE,FGC015034631A
4.0,BLUE,FGC0AA028011B
4.0,KHAKI,FGC051034891A
4.0,TOBACCO,FGC0L40R6741Z
0.0,KHAKI,FGC0AA025151A
2.0,GINGEMBRE,FGC0CP030311A
4.0,OLIVE GREEN,FGC0510R6801Z
3.0,BLACK,FGC0890U0842A
2.0,KHAKI,FGC015027791A
3.0,BLACK/RED,FGC0H40U6282A
1.0,DGREY,FGC031039082A
2.0,CAMEL,FGC0L4005491E
2.0,DROYAL BLUE,FGC015035041A
5.0,DNAVY,FGC0AA027411A
4.0,OLIVE GREEN,FGC051027541A
2.0,PARIS CLEMARIS BLUE,FGC0H9028661A
4.0,TOBACCO M11,FGC0X6024631A
5.0,BLACK,FGC0Q90R6721Z
3.0,CAMEL,FGC0L5037361A
3.0,KHAKI,FGC0H9025841B
0.0,OLIVE GREEN,FGC0L4032821A
0.0,OLIVE GREEN,FGC0L4040271A
5.0,CAMEL,FGC0T80R6761Z
0.0,DUBAI KHAKI,FGC013040571A
1.0,NAVY,FGC018041422A
3.0,LGREY,FGC031040211A
4.0,CAMEL,FGC0510R8061Z
1.0,NAVY,FGC051044662A
6.0,WHITE,FGC031042122A
2.0,KHAKI,FGC0AA027971A
3.0,SNAYPE,FGC0W5035081A
3.0,TOBACCO,FGC0GF0R6781Z
2.0,KHAKI,FGC031044492A
