Brand,Shoename,Category,No.Of_colors,Price
Adidas,PREDATOR XLG SHOES,Men,2.0,14 999.00
Adidas,GAUZEWALK SHOES,Men,3.0,4 299.00
Adidas,RUNIN TECH SHOES,Men,4.0,4 499.50
Adidas,RUNIN TECH SHOES,Men,4.0,4 499.50
Adidas,RUNIN TECH SHOES,Men,4.0,4 499.50
Adidas,URBANSCAPE FLIP-FLOPS,Men,3.0,1 999.00
Adidas,RIVALRY LOW SHOES,Unisex,2.0,8 999.00
Adidas,NMD_S1 SHOES,Men,2.0,19 999.00
Adidas,X_PLRPHASE SHOES,Men,2.0,8 249.50
Adidas,FLUENTO SHOES,Men,3.0,2 309.50
Adidas,TERREX AX4 GORE-TEX HIKING SHOES,Women,,13 999.00
Adidas,FALCON SHOES,Unisex,6.0,9 999.00
Adidas,ADILETTE COMFORT SLIDES,Unisex,,3 999.00
Adidas,RETROPY F90 SHOES,Unisex,3.0,10 999.00
Adidas,LIGRA 7 SHOES,Men,3.0,6 599.00
Adidas,STRUTHUNT SHOES,Men,2.0,3 709.50
Adidas,GAZELLE SHOES,Women,3.0,10 999.00
Adidas,KAPTIR 3.0 SHOES,Men,4.0,5 599.50
Adidas,TORSION SUPER SHOES,Men,2.0,12 999.00
Adidas,TORSION SUPER SHOES,Men,2.0,12 999.00
Adidas,ADIZERO ADIOS 8 SHOES,Men,2.0,12 999.00
Adidas,GAUZEWALK SHOES,Men,3.0,4 299.00
Adidas,AVRYN SHOES,Women,2.0,10 499.50
Adidas,ADIZERO SL W,Women,6.0,11 999.00
Adidas,BRACE WALK SHOES,Men,4.0,5 999.00
Adidas,VALENTINE'S DAY ULTRABOOST 1.0 SHOES,Women,,13 499.50
Adidas,AMPLIGY SHOES,Men,3.0,3 359.50
Adidas,PUREBOOST 22 SHOES,Men,4.0,9 749.50
Adidas,SWITCH MOVE RUNNING SHOES,Unisex,3.0,5 999.00
Adidas,ASTORRUN SHOES,Men,3.0,4 199.50
Adidas,FABURUN SHOES,Men,3.0,4 619.50
Adidas,FALCON SHOES,Unisex,6.0,9 999.00
Adidas,SNOZO BEACH M,Unisex,3.0,1 999.00
Adidas,NMD_S1 BOOTS,Men,,24 999.00
Adidas,RETROPY F2 SHOES,Men,2.0,7 499.50
Adidas,ADI-SHAWT SPORT INSPIRED SHOES,Men,3.0,3 009.50
Adidas,NMD_R1 SHOES,Women,,14 999.00
Adidas,PREDATOR XLG SHOES,Men,2.0,14 999.00
Adidas,ADILETTE COMFORT SLIDES,Unisex,2.0,2 999.50
Adidas,ADICANE SLIDES,Unisex,3.0,4 999.00
Adidas,PICTORIS SHOES,Men,3.0,3 499.50
Adidas,CLINCH-X SHOES,Men,,2 099.50
Adidas,ZX 700 HD SHOES,Men,2.0,6 499.50
Adidas,ULTRABOOST 1.0 SHOES,Women,2.0,17 999.00
Adidas,PERCHWALK SHOES,Men,3.0,3 974.50
Adidas,FLUXX PACE SHOES,Men,3.0,3 974.50
Adidas,FLUXX PACE SHOES,Men,3.0,3 974.50
Adidas,STAN SMITH CS SHOES,Unisex,4.0,9 999.00
Adidas,GRAND COURT CLOUDFOAM COMFORT SHOES,Men,4.0,7 999.00
Adidas,ADILETTE 22 SLIDES,Unisex,9.0,5 999.00
Adidas,FLUIDFLOW 2.0 SHOES,Men,3.0,5 849.50
Adidas,EXPEREO SHOES,Men,3.0,3 919.50
Adidas,EXPEREO SHOES,Men,3.0,3 919.50
Adidas,EXPEREO SHOES,Men,3.0,3 919.50
Adidas,X_PLRPHASE SHOES,Men,2.0,6 599.50
Adidas,ULTRABOOST LIGHT SHOES,Women,,18 999.00
Adidas,RUNMAGICA SHOES,Men,4.0,3 009.50
Adidas,SREETGAZE SHOES,Men,2.0,3 499.50
Adidas,RESPONSE SHOES,Men,3.0,5 319.50
Adidas,FLEECEWALK SHOES,Men,5.0,3 799.00
Adidas,FLEECEWALK SHOES,Men,5.0,3 799.00
Adidas,FLEECEWALK SHOES,Men,5.0,3 799.00
Adidas,BRACE WALK SHOES,Men,4.0,5 999.00
Adidas,X_PLRBOOST SHOES,Women,,17 999.00
Adidas,TRANQUILO SHOES,Men,3.0,4 199.50
Adidas,PICTORIS SHOES,Men,3.0,3 499.50
Adidas,ADIZERO UBERSONIC 4.1 TENNIS SHOES,Men,2.0,13 999.00
Adidas,COURUN AVANT SHOES,Men,4.0,3 709.50
Adidas,RACER TR23 SHOES,Men,,5 999.50
Adidas,ADILETTE 22 SLIDES,Unisex,9.0,5 999.00
Adidas,GALAXY 6 SHOES,Men,9.0,5 999.00
Adidas,GALAXY 6 SHOES,Men,9.0,5 999.00
Adidas,SOLARBOOST 5 SHOES,Men,4.0,12 749.50
